,Functional Area,Applies To,Time Scale,Time Range,Versions,Breakback,Users List,Cell Count,Notes,Read Access Driver,Write Access Driver,Data Tags,Managed By,Referenced By,Used in Dashboards,Line Items
DA 03. Inflatie,INFLATION MODULES,"MJP Versions L2, LIS (DA 04) Parameters inflatie",Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,504,,,,,,"'IP 02. IAS16 kosten (cumulatief)', '└ IP 16b. Invoer DB/TS Inflatie'",,"Inflatie collect, Inflatie"
└DA 03a. Inflatie (cumulatief),INFLATION MODULES,"MJP Versions L2, LIS (DA 04) Parameters Inflatie (cumulative)",Year,TR 20 Y,Not Applicable,New Line Items: Off,Show All Users: On,252,,,,,,"'IP 02. IAS16 kosten (cumulatief)', '└ IP 16b. Invoer DB/TS Inflatie', '└DA 03b. Inflatie ( Merge)'",,Inflatie
└DA 03b. Inflatie ( Merge),INFLATION MODULES,"Kostensoort, MJP Versions L2",Year,TR 20 Y,Not Applicable,New Line Items: Off,Show All Users: On,588,HV: Published in 6.2,,,,,,,"Inflatie, Inflatie YOY"
CA XX. Inflatie Staging UMD,INFLATION MODULES,"MJP Versions L2, COEA, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,13824,,,,,,'CA 32xx. Toeslag Indirect MJP',,"TOTEX UMD excl inflation, Inflatie Calcs, Uren incl inflation, Materiaal incl inflation, Dienste Derden incl inflation, TOTEX UMD incl inflation, Weighted Inflatie, Avg Inflation TOTEX UMD"
CA 40. BAK Inflatie + Meerjarig,INFLATION MODULES,"MJP Versions L2, SS OPEX-CAPEX - BAK, SS Afdeling L5 - Budget Afdelingen",Year,TR 20 Y,Not Applicable,New Line Items: Off,Show All Users: On,55566,> Inflation,,,,,"'EX 01. Export plan to FSP', '└EX 01a. Export plan to FSP - BAK'",,"Exclusief inflatie, Gemiddelde inflatie, Inclusief inflatie, Groei percentage SIP, Incrementale inflatie, BAK inclusief groei + infaltie"
CA 41. Netverder Inflatie,INFLATION MODULES,"MJP Versions L2, Inflatie excl/incl",Year,TR 20 Y,Not Applicable,New Line Items: Off,Show All Users: On,672,> Inflation,,,,,"'└CA 41a. Netverder Inflatie - Naar rekeningcategori', '└EX 01a. Export plan to FSP - BAK'",,"Gemiddelfde inflatie CAPEX, Gemiddelde inflatie OPEX, OPEX, Kosten, Omzet, CAPEX, Bruto CAPEX, BAK, Subsidie, Totaal BAK"
└CA 41a. Netverder Inflatie - Naar rekeningcategori,INFLATION MODULES,"MJP Versions L2, COEA, Inflatie excl/incl, LIS (CA 29) MJP",Year,TR 20 Y,Not Applicable,New Line Items: Off,Show All Users: On,109221,> Inflation,,,,,'EX xx. Export plan to FSP',,"MJP Totaal, MJP Netverder, Totaal OPEX naar OEA, Totaal OPEX, Verdeling OPEX, Totaal CAPEX naar C, Totaal CAPEX, Verdeling CAPEX, OPEX, OPEX Totaal, Kosten, Omzet, CAPEX, Bruto CAPEX, Totaal netverder"
CA 44. Inflatie Staging,INFLATION MODULES,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen, COEA, Rekeningcategorie",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,27648,> Inflation. HV: Why is this not in CA 46?,,,,,"'└ IP 10d. Calculatie seizoenspatronen', '└ CA 21c. UMDT + Inflatie (L4+)', '└ CA 23c. UMDT + Inflatie (L3+)', 'CA 46 Cost + Inflatie', 'EX 06. Export inflatie to Datahub'",,Inflatie
CA 45. Doorbelasting inflatie staging,INFLATION MODULES,"MJP Versions L2, SS Afdeling L5 - Doorbelastingen en toeslagen, SS DB/TS - Doorbelastingen, SS - Account L12 - DB/TS",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,493290,> Inflation,,,,,'└ IP 10d. Calculatie seizoenspatronen',,"Exclusief inflatie, Inclusief inflatie, Exclusief inflatie - GBR, Inclusief inflatie - GBR, Inflatie %"
CA 46 Cost + Inflatie,INFLATION MODULES,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen, COEA, Rekeningcategorie",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,257985,> Inflation,,,,,"'CA 50. Monthly allocation key FSP', 'CA 51. Monthly allocation 5 years', 'RP 16. MJP Inflatie', 'RP 16 NEW. MJP Inflatie', 'RP 21. COEA Versie Variance Totals', 'RP 22. COEA Versie Variance'",,"Kosten exclusief inflatie, Inflatie, Kosten inclusief inflatie"
CA 47. Toeslag Inflation Staging,INFLATION MODULES,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen, SS DB/TS - Toeslagen, SS - Account L12 - DB/TS",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,277830,> Inflation,,,,,'└ IP 10d. Calculatie seizoenspatronen',,Toeslag Inflatie
⠀⠀⠀       ◼️ Reporting Modules,,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,0,,,,,,,,
RP 01. IC output,OUTPUT,"MJP Versions L2, SS IC Afdelingen - Selectie, SS Afdeling L5 - IC",Month,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,876096,,,,,,"'IP 25.  IC allocation naar kostenplaats', 'CA 19. Rekeningcategorie Allocatie', 'CA 24. MJP Kosten uren uitvoeringskosten', 'CA 29. MJP naar Afdelingen'",,"Versturend, Ontvanged, Totaal overview, - Technical -, Export to CA 19, Conditional formatting"
RP 03. DB / TS Overview,OUTPUT,"MJP Versions L2, DB/TS items, Inflatie excl/incl, SS Afdeling L5 - Doorbelastingen en toeslagen",Year,TR MJP inclusief totaal,Not Applicable,New Line Items: Off,Show All Users: On,80475,,,,,,'EX 05. DB/TS export to AACxUMD',,"#, %, Filter"
RP 06. samenvatting MJP,OUTPUT,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,174636,,,,,,"'IP 31. Netverder', '└ RP 06b. Variantie Analyse', '└ RP 06c.TOTEX Analyse'",,"Afdelingsresultaat (EBITDA), Omzet, Personeelskosten, Uren & Toeslagen (OE), Uren & Toeslagen (A), IC en Doorbelastingen, Materialen (ex CAPEX), Diensten derden (ex CAPEX), Overige kosten, -, TOTEX, CAPEX, OPEX, EXTERN, CAGR (YoY % ), --, Bijdrage aansluitkosten (BAK), CAPEX BAK, OPEX BAK, ---, KPI's:, EBITDA (incl. inflatie), TOTEX (incl inflatie), Formatie, Gemiddelde kosten / FTE, Uren schrijvende FTE"
└ RP 06a. samenvatting COEA,OUTPUT,"MJP Versions L2, COEA, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,61740,,,,,,,,"Activering, Omzet, Uren, Materiaal, Diensten Derden, Toeslag Direct, Toeslag Indirect, Personeel, Doorbelastingen, Overige Kosten, IC, Resultaat, niet cf IAS 16, Resultaat excl. IAS 16"
└ RP 06b. Variantie Analyse,OUTPUT,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen, LIS (RP 06) Samenvatting MJP",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,1500300,Calculation split because of differences between ex/inc inflation YoY %. Combined again in Value and YoY Growth,,,,,,,"Collect ex Inflation, Collect inc Inflation, Final Value ex Inflation, Final Value inc Inflation, YoY Growth ex inflation, YoY Growth inc inflation, Value, YoY Growth Rate (%), ---Technical---, CF, Collect based on show [OLD], Final value with scenario [OLD], YoY Growth Rate (%)  with scenario [OLD], Final Value [OLD], YoY Growth Rate (%) [OLD], Growth Rate target (TBD) [OLD]"
└ RP 06c.TOTEX Analyse,OUTPUT,"MJP Versions L2, COEA, Inflatie excl/incl, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,79380,,,,,,,,"MJP, SIP, YoY MJP Groei, YoY SIP Groei, Delta, CF"
RP 07. formatie ontwikkeling,OUTPUT,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Month,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,309582,,,,,,'└ RP 07a. Variantie Analyse',,"Totaal, Intern, Extern"
└ RP 07a. Variantie Analyse,OUTPUT,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen, LIS (RP 07) Formatieontwikkeling",Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,460320,,,,,,,,"Collect based on show, Final value with scenario, YoY Growth Rate (%)  with scenario, Final Value, YoY Growth Rate (%), Growth Rate target (TBD), CF"
RP 08. Formatie MJP,OUTPUT,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,114012,,,,,,"'CA 14. FTE Versie Variance', 'RP 06. samenvatting MJP', '└ RP 08a. Variantie Analyse', 'RP 10 MJP CAPEX - UMD', 'RP 11. MJP OPEX - UMD', 'RP 24. FTE Versie Variance Totals'",,"Formatie, Intern FTE, Extern FTE, extern/totaal, -, Personeelskosten (k€), Gemiddelde FTE, Gemiddelde kosten / FTE, Intern (k€), -Gemiddelde FTE, intern/FTE, Extern (k€), .Gemiddelde FTE, extern/FTE, --, Urenschrijvend FTE, Kritische functies"
└ RP 08a. Variantie Analyse,OUTPUT,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen, LIS (RP 08) Formatie MJP",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,448497,,,,,,,,"Collect based on show, Final value with scenario, YoY Growth Rate (%)  with scenario, Final Value, YoY Growth Rate (%), SIP totex groei 50%, ---Technical---, CF"
RP 09. Afdelingskosten,OUTPUT,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,111132,,,,,,"'IP 31. Netverder', 'RP 06. samenvatting MJP', '└ RP 06c.TOTEX Analyse'",,"Afdelingskosten, Omzet, Dekking U&T, Uren (A), Toeslag Direct (A), Toeslag Indirect (A), Personeelskosten, Doorbelastingen, Diensten Derden, Materiaal, Overige Kosten, IC, -, KPI, niet cf IAS 16, Resultaat (incl. inflatie)"
RP 10 MJP CAPEX - UMD,OUTPUT,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR 20 Y,Not Applicable,New Line Items: Off,Show All Users: On,168336,,,,,,"'IP 31. Netverder', 'RP 06. samenvatting MJP'",,"CAPEX, Omzet, Uren, Materialen, Diensten derden, Toeslagen, -, KPI's, Capex (inc. inflatie), Directe FTE, -- technical --, Toeslagen direct, Toeslagen indirect, TOTEX"
└ RP 10a. MJP CAPEX - Specificatie,OUTPUT,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,518616,,,,,,'└ RP 10a. MJP CAPEX - LIS Based',,"SIP Maakbare variant, CAPEX, Netgedreven, Capaciteit, Hoogspanning, Middenspanning, Laagspanning, Druk Cap, Overig Cap, Kwaliteit, Elektriciteit, Gas, Overig kwal, Klantgedreven, Large connections, Reconstructions, Network Expansion, Verwijderen, Metergedreven, Telecom, Overig, Netverder, Infradock, Utility Connect, Supply Chain, IT, Rente activering, Overig CAPEX"
└ RP 10a. MJP CAPEX - LIS Based,OUTPUT,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen, LIS (RP 10a) capex mapping Themas L3",Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,1037232,,,,,,'└ FI 07ah. User Filters - Suppress Zeroes CAPEX',,"Item, Collect"
RP 11. MJP OPEX - UMD,OUTPUT,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR 20 Y,Not Applicable,New Line Items: Off,Show All Users: On,151452,,,,,,"'IP 31. Netverder', 'RP 06. samenvatting MJP'",,"OPEX, Omzet, Uren, Materialen, Diensten derden, Toeslagen, -, OPEX ex omzet, KPI's:, Opex (incl. inflatie), Urenschrijvend FTE, --- technical ---, Toeslag direct, Toeslag indirect, TOTEX"
└ RP 11a. MJP OPEX - Specificatie,OUTPUT,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,370440,,,,,,'└ RP 11a. MJP OPEX - LIS Based',,"SIP Maakbare variant, OPEX, Netgedreven, Capaciteit, Hoogspanning, Middenspanning, Laagspanning, Druk Cap, Overig Cap, Kwaliteit, Elektriciteit, Gas, Overig Kwal, Verwijderen, Klantgedreven, Large connections, Reconstructions, Network Expansion, Metergedreven, Overig"
└ RP 11a. MJP OPEX - LIS Based,OUTPUT,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen, LIS (RP11a) OPEX - Specificatie",Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,740880,,,,,,'└ FI 07ag. User Filters - Suppress Zeroes OPEX',,"ITEM, Collect"
RP 12. MJP EXTERN - UMD,OUTPUT,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,163254,,,,,,'RP 06. samenvatting MJP',,"EXTERN, Omzet, Uren, Materialen, Diensten derden, Toeslagen, -, KPI's, Extern (incl. inflatie), --- terchnical ---, Toeslag direct, Toeslag indirect, TOTEX"
└ RP 12a. MJP Extern - Specificatie,OUTPUT,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,37044,,,,,,,,"Extern, Overig"
RP 13. UMDT - Afdeling,OUTPUT,"MJP Versions L2, SIP Thema L3, UMDT Items, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,3036709,,,,,,"'CA 34. MJP naar thema''s', '└ FI 07ad. User Filters - Suppress Zeroes RP13'",,"UMD excl. Inflatie, Inflatie, UMD incl. Inflatie, ---Technical---, Afdeling Filter, Thema Filter, UMD excl. inflatie <> 0"
RP 15. UMDT - Afdeling E/G Regio OPEX,OUTPUT,"MJP Versions L2, SIP Thema L3, Inflatie excl/incl, OPEX Type, Product, Regio, UMDT Items, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,327685033,,,,,,'└ FI 07aj. User Filters - Suppress Zeroes RP15',,"UMD excl. Inflatie, UMD incl. Inflatie, UMDT, ---Technical---, Afdeling Filter, Thema Filter, UMD excl. inflatie <> 0"
RP 14. UMDT - Kostenplaats,OUTPUT,"MJP Versions L2, SIP Thema L3, SS - COEA - zonder AFD, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,4904802,,,,,,'└ FI 07ac. User Filters - Suppress Zeroes RP14',,"Totaal UMDT, Q, Uren, Materiaal, Diensten Derden, TS - Direct, TS - Indirect, ---Technical---, Afdeling"
RP 16. MJP Inflatie,OUTPUT,"MJP Versions L2, COEA, SS Afdeling L5 - Budget Afdelingen, LIS (CA 29) MJP",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,360252,,,,,,"'└CA 00a. SIP- Delta Analyse', 'CA 01. SIP - continued', 'CA 32. Toeslag Indirect MJP', 'CA 34. MJP naar thema''s', 'CA 99. Samenvatting', 'CA 40. BAK Inflatie + Meerjarig', 'CA 41. Netverder Inflatie', 'RP 06. samenvatting MJP', '└ RP 06a. samenvatting COEA', 'RP 08. Formatie MJP', 'RP 09. Afdelingskosten', 'RP 10 MJP CAPEX - UMD', 'RP 11. MJP OPEX - UMD', 'RP 12. MJP EXTERN - UMD', 'EX 06. Export inflatie to Datahub', 'EX xx. Export plan to FSP'",,"MJP excl. inflatie, Inflatie, MJP incl. inflatie, -- Technical --, MJP ex activering, Dashboarding, CAPEX Dashboarding, TOTAL dashboarding, TOTEX Dashboarding, EBITDA Dashbaording, Totex exclusief toeslagen, Inflatie YoY, Average inflation"
RP 16 NEW. MJP Inflatie,OUTPUT,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen, COEA, Rekeningcategorie",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,199638,,,,,,'CA 07. Variante SIP/MJP',,"MJP excl. inflatie, Inflatie, MJP incl. inflatie"
RP 17. KPI Waarde report creation,,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen, Import Scenario, Support list #50",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,304000,,,,,,,,"KPI, Waarde, ---Technical---, CF - Randvoorwaarde"
RP 25. Leenmonteur overview,OUTPUT,"MJP Versions L2, SS IC Afdelingen - Leenmonteurs, SS Afdeling L5 - OPS",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,5697,,,,,,,,"Dekkingswaarde Versturend, Dekkingswaarde Ontvangend, Dekkingswaarde, Uren Ontvangend, Uren Versturend, Uren, ---Technical---, Format"
RP 18. KPI Waarde over years,OUTPUT,"MJP Versions L2, KPI_Afdeling, Import Scenario",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,198030,,,,,,'└ RP 18a. Powerpoint KPI''s Waarde',,"KPI naam, Eenheid, Frequentie, Categorie L1, Categorie L2, Waarde, Afdeling, Afdeling filter"
└ RP 18a. Powerpoint KPI's Waarde,OUTPUT,"MJP Versions L2, Dummy Afdelingen, KPI_Afdeling, Import Scenario",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,3847602,,,,,,,,"Waarde, -- Technical --, Show in PPT?, Afdeling?, Show?"
└ RP 18b. Powerpoint KPI's Master Data,OUTPUT,"MJP Versions L2, Dummy Afdelingen, KPI_Afdeling",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,669120,,,,,,,,"KPI naam, Groepering L1, Groepering L2, Eenheid, Omschrijving, -- Technical --, Show in PPT?, Afdeling?, Count, Counter, Page#, PPT Page"
RP 19. Risico & Kansen,OUTPUT,"MJP Versions L2, Dummy Afdelingen, Risico & Kansen items, Risico & Kansen soort",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,448119,,,,,,,,"R&K Soort, € / FTE, Omschrijving, Kostensoort, Jaar, Kans berekening ?, Kans, Invoer, Totaal minder, Budget, Totaal meer, Format input, Has value?, Afdeling Filter"
RP 20. COEA tabel per kostenplaats,OUTPUT,"MJP Versions L2, COEA, SS Kostenplaats L7 - Budget, SS Rekeningcategorie - excl. IAS 16",Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,10352160,,,,,,,,"Waarde, Waarde inclusief inflatie"
RP 26. Calculatie seizoenspatronen Totaal,OUTPUT,"Users, MJP Versions L2, Uni-code COEA-MJP-ACC",Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,55546920,,,,,,,,Full Year Waarde
RP 29. P&L Overzicht,OUTPUT,"MJP Versions L2, Inflatie excl/incl, Rekeningcategorie, SS Afdeling L5 - Budget Afdelingen, SS - COEA - P&L",Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,1031448,,,,,,'└ FI 07al. User Filters - Suppress Zeroes RP 29',,"Totaal, ---Technical---, Exc. Inflatie?, Waarde <> 0?"
⠀⠀⠀       ◼️ Controle modules,,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,0,,,,,,,,
RP 21. COEA Versie Variance Totals,OUTPUT,"Users, COEA, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,81095,HV: Ex CA 13. Replaced table 1 in page 9.4,,,,,,,"Versie 1, Versie 2, Δ, Δ %, --- Technical ---, Waarde startjaar exclusief inflatie, Waarde startjaar inclusief inflatie, CF Δ Totaal"
RP 22. COEA Versie Variance,OUTPUT,"Users, COEA, Rekeningcategorie",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,21515,HV: Ex CA 13. Replaced table 2 in page 9.4,,,,,,,"Versie 1, Versie 2, Δ, Δ%, --- Technical ---, Waarde startjaar exclusief inflatie, Waarde startjaar inclusief inflatie, CF Δ"
RP 23. Controle Dekking Uren,OUTPUT,"MJP Versions L2, Rekeningcategorie, SS Afdeling L5 - Budget Afdelingen",Month,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,1393119,HV: Ex CA 16. Replaced in 9.2,,,,,,,"OPEX, CAPEX, EXTERN, TOTEX, Δ, Afdelingskosten, Totaal Leenmonteurs, Δ incl Leenmonteurs, --- TECHNICAL ---, Leenmonteurs"
RP 24. FTE Versie Variance Totals,OUTPUT,"Users, FTE Type L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,330088,,,,,,,,"Versie 1, Versie 2, Δ, Δ %, ---Technical---, FTE startjaar, CF Δ"
RP 27. Check report overview,OUTPUT,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,2190,,,,,,,,"Maandelijkse verdeling binnen bounds?, Uitvoeringskosten (Wel/Niet gevuld), Uren (Totaal beschikbare uren), UMD allocatie Thema, UMD allocatie Activiteit, UMD (Niet gealloceerd), IC (Aantal niet gevulde IC), Kostenplaats (Niet gealloceerd), GBR allocatie (Niet gealloceerd), Maand allocatie (Niet gealloceerd), KPI FY (Aantal niet gevuld), KPI Maand (Aantal niet gevuld), Tarieven en directe toeslagen gevuld?, Totaal controle, Volledigheid, Totaal Kostenplaats (Niet Gealloceerd), ---Technical---, Uitvoeringskosten Dummy, Afwijking Euro, CF Maandelijkse Verdeling, CF Uren, CF Uitvoeringskosten, CF IC, CF UMD, CF Kostenplaats, CF GBR, CF Maand, CF KPI FY, CF KPI Maand, CF Tarieven en toeslagen"
RP 30. Controle DB en TS,OUTPUT,"MJP Versions L2, Inflatie excl/incl, Rekeningcategorie, SS Afdeling L5 - Doorbelastingen en toeslagen, SS - Account L12 - DB/TS",Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,4597776,,,,,,,,"Waarde, ---Technical---, Exc. Inflatie?"
RP 28. Controle Volledigheid GBR/Maand,OUTPUT,"MJP Versions L2, COEA, Rekeningcategorie, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,510829,,,,,,,,"--- Grootboekrekening ---, Nog te verdelen Grootboekrekening, Grootboekrekening, CF Grootboekrekening, --- Maanden ---, Nog te verdelen Maanden, Maanden, CF Maanden, --- Technical ---, Afwijking"
⠀⠀⠀       ◼️  Filter Modules,,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,0,,,,,,,,
FI 03. User Filter Years II,DELETE,"Users, MJP Versions L2",Year,TR Model calendar + Total periods,Not Applicable,New Line Items: Off,Show All Users: On,24440,,,,,,,,"Show?, Count, Count from start year, Dynamische tijdrange"
FI.05. Filter Input MJP,DELETE,MJP Versions L2,Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,168,,,,,,,,"Budget Year, MJP Years, Filter Input, Filter Output"
FI 06. Filter Version,DELETE,MJP Versions L2,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,4,,,,,,,,"Version BWM?, Show Version?"
└ FI 06a. Select Versie BWM,DELETE,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,3,,,,,,,"5.2 Versie Control, 7.0 Export BWM","Format, Selecteer BWM Export versie, Selecteer FSP versie SIP Import"
FI 10. Activiteit L4 + > Afdelingen,DELETE,"MJP Versions L2, SIP Activiteit L4 +, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,492156,,,,,,,,Afdeling
FI 01. Filter no dimensions,SYSTEM,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,5,Delete?,,,,,"'MA 08. Acount L12 aggregation mapping', 'MA 09. Account L12 aggregation mapping - Version based', 'MA 10. Afdeling op Thema''s of Activiteiten', 'MA 11. Afdeling op L3++'",,"Afdeling OPS/SIP, Afdeling, Show ungrouped?, Show grouped?, Select Versie Budget"
FI 01. Select Versie Budget,SYSTEM,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,24,Prep for TBD,,,,,"'FI 06. Filter Version', 'SET 02. Tijd Settings - Maand', 'SET 03. Tijd Settings - Jaar'",,"Format, Selecteer Budget versie, Selecteer BWM Export versie, Afdeling OPS/SIP, Show ungrouped?, Show grouped?, Tijd filter, Filter budget versie"
FI 02. User Filter Years,SYSTEM,Users,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,195,Prep for TBD,,,,,'FI 03. User Filter Years II',"2.1 P&L, 2.2 Balance Sheet, 2.3 Cashflow, 2.4 Verloopstaten, 2.5 FTE, 2.6 P&L Variantie, 2.7 BS Variantie, 2.8 Ratio's, 2.9 P&L - Brugstaat, 3.10 Dividend calculatie, 3.11 FTE Analyse","Filter, Hoeveel jaren in rapport, Format"
FI 10. Account,SYSTEM,Account L12,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,21872,,,,,,,,"Personeelskosten, Inleenkosten, Overige personeelskosten, Filter - Personeelskosten, Filter - Inleenkosten, Filter - Overige personeelskosten, Filter - Personeel and Inleen excl. Overige"
FI 04. Read-Only,SYSTEM,MJP Versions L2,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,18,,,,,,,,"Read?, Write?, Lock yearly input, Open yearly input, Lock doorbelastingen/toeslagen, Unlock doorbelastingen/toeslagen, Lock all input, Unlock all input"
FI 12. FIlter DB/TS,SYSTEM,"DB/TS items, SS Afdeling L5 - Doorbelastingen en toeslagen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,2354,HV: some filters used in UX,,,,,"'└ IP 16a. Invoer DB/TS allocatie', 'IM 19. DB/TS Items'",,"Item, Filter DB/TS, Filter Toeslagen (SS), Filter Toeslagen, Show?"
FI 14. Thema L3 filter Calculations,SYSTEM,"MJP Versions L2, SIP Thema L3, SS Afdeling L5 - OPS (SIP)",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,185328,,,,,,"'FI 11. Activiteit L4 +', 'MA 10. Afdeling op Thema''s of Activiteiten', 'MA 11. Afdeling op L3++'",,"Totaal Euro, Valid Combinations"
FI 16. Filter SS Afdeling L5 - Budget Afdelingen,SYSTEM,SS Afdeling L5 - Budget Afdelingen,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,32,,,,,,,,KPI used for dashboard filtering
FI 17. Account L12 - budget - COEA,SYSTEM,"COEA, SS - Account L12 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,512,HV: Filter module,,,,,"'└ FI 07f. User Filters - Account', 'IM 01. Account L12'",,Show?
FI 18. Allocation Thema/Afdeling/COEA,SYSTEM,"MJP Versions L2, SIP Thema L3++, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,281652,,,,,,,,Filter waarde
⠀⠀⠀       ◼️  User Filter Modules,,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,0,,,,,,,,
FI 08. Versie vergelijking,SYSTEM,Users,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,130,Prep for TBD,,,,,'CA 14. FTE Versie Variance',,"Versie 1, Versie 2"
