,Format,Formula,Summary,Applies To,Time Scale,Time Range,Versions,Style,Cell Count,Populated Cell Count,Memory Used,Calculation Complexity,Calculation Effort,Notes,Read Access Driver,Write Access Driver,Users List,Parent,Is Summary,Formula Scope,Code,Use Switchover,Breakback,Start of Section,Data Tags,Referenced By,Module Name
Intern (k€),NUMBER,IF 'IM 07. Import Scenario''s'.MJP? THEN 'CA 06. FTE kosten MJP'.Personeelkosten MJP[LOOKUP: 'IM 99. Lookup lists'.'FTE - Eigen'] * -1 ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'CA 06. FTE kosten MJP'.Personeelkosten MJP incl inflatie[LOOKUP: 'IM 99. Lookup lists'.'FTE - Eigen'] * -1 ELSE 0,Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Summary1,7938,,,,,,,,,,false,All Versions,,true,false,false,,"'intern/FTE', '└ RP 08a. Variantie Analyse'.Collect based on show",RP 08. Formatie MJP
-Gemiddelde FTE,NUMBER,IF 'IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY? THEN '└ DA 30b. Actuals/LE Input Formatie'.Gemiddelde FTE Intern ELSE 'CA 06. FTE kosten MJP'.'Gemiddelde FTE (Calculatie)'[LOOKUP: 'IM 99. Lookup lists'.'FTE - Eigen'],Average,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,"'intern/FTE', '└ RP 08a. Variantie Analyse'.Collect based on show",RP 08. Formatie MJP
intern/FTE,NUMBER,'Intern (k€)' / '-Gemiddelde FTE',Average,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Heading3,7938,,,,,,,,,,false,All Versions,,true,false,false,,'└ RP 08a. Variantie Analyse'.Collect based on show,RP 08. Formatie MJP
Extern (k€),NUMBER,IF 'IM 07. Import Scenario''s'.MJP? THEN 'CA 06. FTE kosten MJP'.Personeelkosten MJP[LOOKUP: 'IM 99. Lookup lists'.'FTE - Inleen'] * -1 ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'CA 06. FTE kosten MJP'.Personeelkosten MJP incl inflatie[LOOKUP: 'IM 99. Lookup lists'.'FTE - Inleen'] * -1 ELSE 0,Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Summary1,7938,,,,,,,,,,false,All Versions,,true,false,false,,"'extern/FTE', '└ RP 08a. Variantie Analyse'.Collect based on show",RP 08. Formatie MJP
.Gemiddelde FTE,NUMBER,IF 'IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY? THEN '└ DA 30b. Actuals/LE Input Formatie'.Gemiddelde FTE Intern ELSE 'CA 06. FTE kosten MJP'.'Gemiddelde FTE (Calculatie)'[LOOKUP: 'IM 99. Lookup lists'.'FTE - Inleen'],Average,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,"'extern/FTE', '└ RP 08a. Variantie Analyse'.Collect based on show",RP 08. Formatie MJP
extern/FTE,NUMBER,'Extern (k€)' / '.Gemiddelde FTE',Average,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Heading3,7938,,,,,,,,,,false,All Versions,,true,false,false,,'└ RP 08a. Variantie Analyse'.Collect based on show,RP 08. Formatie MJP
--,NONE,,None,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,,,,,,,,,,,false,All Versions,,true,false,false,,,RP 08. Formatie MJP
Urenschrijvend FTE,NUMBER,IF 'IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY? THEN '└ DA 30b. Actuals/LE Input Formatie'.Direct ELSE IF 'IM 07. Import Scenario''s'.MJP? THEN 'IP 32. Urenschrijvende FTE''s'.'Urenschrijvende FTE''s' ELSE 0,Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,"'RP 06. samenvatting MJP'.Uren schrijvende FTE, 'RP 10 MJP CAPEX - UMD'.Directe FTE, 'RP 11. MJP OPEX - UMD'.Urenschrijvend FTE",RP 08. Formatie MJP
Kritische functies,NUMBER,IF 'IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY? THEN '└ DA 30b. Actuals/LE Input Formatie'.Kritisch ELSE 0,Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,,RP 08. Formatie MJP
Collect based on show,NUMBER,IF '└ SET 01b. Import Scenario Dashboard Settings'.Show? Without Budget Ex Inflation THEN COLLECT() ELSE 0,Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen, LIS (RP 08) Formatie MJP",Year,TR MJP,Not Applicable,Normal,103194,,,,,,,,,,false,All Versions,,true,false,false,,Final value with scenario,└ RP 08a. Variantie Analyse
Final value with scenario,NUMBER,Collect based on show,Sum,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen, LIS (RP 08) Formatie MJP",Year,TR MJP,Not Applicable,Normal,17199,,,,,,,,,,true,All Versions,,true,false,false,,"'YoY Growth Rate (%)  with scenario', Final Value",└ RP 08a. Variantie Analyse
YoY Growth Rate (%)  with scenario,NUMBER,IF Final value with scenario / PREVIOUS(Final value with scenario) <> 0 THEN Final value with scenario / PREVIOUS(Final value with scenario) - 1 ELSE 0,Formula,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen, LIS (RP 08) Formatie MJP",Year,TR MJP,Not Applicable,Normal,17199,,,,,,,,,,false,All Versions,,true,false,false,,'YoY Growth Rate (%)',└ RP 08a. Variantie Analyse
Final Value,NUMBER,Final value with scenario,Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen, LIS (RP 08) Formatie MJP",Year,TR MJP,Not Applicable,Normal,103194,,,,,,,,,,true,All Versions,,true,false,false,,,└ RP 08a. Variantie Analyse
YoY Growth Rate (%),NUMBER,'YoY Growth Rate (%)  with scenario',Formula,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen, LIS (RP 08) Formatie MJP",Year,TR MJP,Not Applicable,Normal,103194,,,,,,,,,,true,All Versions,,true,false,false,,CF,└ RP 08a. Variantie Analyse
SIP totex groei 50%,NUMBER,('└ DA 28b. Meerjarenplan Euros SIP Thema selectie'.'TOTEX SIP Euro''s' - PREVIOUS('└ DA 28b. Meerjarenplan Euros SIP Thema selectie'.'TOTEX SIP Euro''s')) / PREVIOUS('└ DA 28b. Meerjarenplan Euros SIP Thema selectie'.'TOTEX SIP Euro''s') / 2,Formula,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,1323,,,,,,,,,,false,All Versions,,true,false,false,,CF,└ RP 08a. Variantie Analyse
---Technical---,NONE,,None,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen, LIS (RP 08) Formatie MJP",Not Applicable,TR MJP,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,└ RP 08a. Variantie Analyse
CF,NUMBER,IF 'YoY Growth Rate (%)' > 'SIP totex groei 50%' THEN 1 ELSE 0,Formula,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen, LIS (RP 08) Formatie MJP",Year,TR MJP,Not Applicable,Normal,103194,,,,,,,,,,false,All Versions,,true,false,false,,,└ RP 08a. Variantie Analyse
Afdelingskosten,NUMBER,Omzet + 'Uren (A)' + 'Toeslag Direct (A)' + Personeelskosten + Materiaal + Diensten Derden + Overige Kosten + 'Toeslag Indirect (A)' + Doorbelastingen + IC,Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Summary1,7938,,,,,,,,,,true,All Versions,,true,false,false,,"'IP 31. Netverder'.'MJP - Afdelingsresultaat', '└ RP 06c.TOTEX Analyse'.MJP, 'Resultaat (incl. inflatie)'",RP 09. Afdelingskosten
Omzet,NUMBER,"IF ('IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY?) AND 'SET 01. Import Scenario Settings'.Historic Period? THEN '└DA 30a. Actuals/LE/Budget Input Afdelingskosten'.Omzet ELSE IF 'IM 07. Import Scenario''s'.MJP? THEN 'RP 16. MJP Inflatie'.'MJP excl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Omzet', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'RP 16. MJP Inflatie'.'MJP incl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Omzet', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,"'RP 06. samenvatting MJP'.Omzet, Afdelingskosten",RP 09. Afdelingskosten
Dekking U&T,NUMBER,'Uren (A)' + 'Toeslag Direct (A)' + 'Toeslag Indirect (A)',Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,,RP 09. Afdelingskosten
Uren (A),NUMBER,"IF ('IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY?) AND 'SET 01. Import Scenario Settings'.Historic Period? THEN '└DA 30a. Actuals/LE/Budget Input Afdelingskosten'.Uren ELSE IF 'IM 07. Import Scenario''s'.MJP? THEN 'RP 16. MJP Inflatie'.'MJP excl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Uren', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'RP 16. MJP Inflatie'.'MJP incl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Uren', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,"'RP 06. samenvatting MJP'.'Uren & Toeslagen (A)', Afdelingskosten, 'Dekking U&T'",RP 09. Afdelingskosten
Toeslag Direct (A),NUMBER,"IF ('IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY?) AND 'SET 01. Import Scenario Settings'.Historic Period? THEN '└DA 30a. Actuals/LE/Budget Input Afdelingskosten'.Toeslag Direct ELSE IF 'IM 07. Import Scenario''s'.MJP? THEN 'RP 16. MJP Inflatie'.'MJP excl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Toeslag Direct', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'RP 16. MJP Inflatie'.'MJP incl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Toeslag Direct', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,"'RP 06. samenvatting MJP'.'Uren & Toeslagen (A)', Afdelingskosten, 'Dekking U&T'",RP 09. Afdelingskosten
Toeslag Indirect (A),NUMBER,"IF ('IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY?) AND 'SET 01. Import Scenario Settings'.Historic Period? THEN '└DA 30a. Actuals/LE/Budget Input Afdelingskosten'.Toeslag Indirect ELSE IF 'IM 07. Import Scenario''s'.MJP? THEN 'RP 16. MJP Inflatie'.'MJP excl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Toeslag Indirect', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'RP 16. MJP Inflatie'.'MJP incl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Toeslag Indirect', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,"'RP 06. samenvatting MJP'.'Uren & Toeslagen (A)', Afdelingskosten, 'Dekking U&T'",RP 09. Afdelingskosten
Personeelskosten,NUMBER,"IF ('IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY?) AND 'SET 01. Import Scenario Settings'.Historic Period? THEN '└DA 30a. Actuals/LE/Budget Input Afdelingskosten'.Personeelskosten ELSE IF 'IM 07. Import Scenario''s'.MJP? THEN 'RP 16. MJP Inflatie'.'MJP excl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Personeelskosten', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'RP 16. MJP Inflatie'.'MJP incl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Personeelskosten', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,"'RP 06. samenvatting MJP'.Personeelskosten, Afdelingskosten",RP 09. Afdelingskosten
Doorbelastingen,NUMBER,"IF ('IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY?) AND 'SET 01. Import Scenario Settings'.Historic Period? THEN '└DA 30a. Actuals/LE/Budget Input Afdelingskosten'.Doorbelastingen ELSE IF 'IM 07. Import Scenario''s'.MJP? THEN 'RP 16. MJP Inflatie'.'MJP excl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Doorbelastingen', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'RP 16. MJP Inflatie'.'MJP incl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Doorbelastingen', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,"'RP 06. samenvatting MJP'.IC en Doorbelastingen, Afdelingskosten",RP 09. Afdelingskosten
Diensten Derden,NUMBER,"IF ('IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY?) AND 'SET 01. Import Scenario Settings'.Historic Period? THEN '└DA 30a. Actuals/LE/Budget Input Afdelingskosten'.Diensten Derden ELSE IF 'IM 07. Import Scenario''s'.MJP? THEN 'RP 16. MJP Inflatie'.'MJP excl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Diensten Derden', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'RP 16. MJP Inflatie'.'MJP incl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Diensten Derden', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,"'RP 06. samenvatting MJP'.'Diensten derden (ex CAPEX)', Afdelingskosten",RP 09. Afdelingskosten
Materiaal,NUMBER,"IF ('IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY?) AND 'SET 01. Import Scenario Settings'.Historic Period? THEN '└DA 30a. Actuals/LE/Budget Input Afdelingskosten'.Materiaal ELSE IF 'IM 07. Import Scenario''s'.MJP? THEN 'RP 16. MJP Inflatie'.'MJP excl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Materiaal', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'RP 16. MJP Inflatie'.'MJP incl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Materiaal', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,"'RP 06. samenvatting MJP'.'Materialen (ex CAPEX)', Afdelingskosten",RP 09. Afdelingskosten
Overige Kosten,NUMBER,"IF ('IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY?) AND 'SET 01. Import Scenario Settings'.Historic Period? THEN '└DA 30a. Actuals/LE/Budget Input Afdelingskosten'.Overige Kosten ELSE IF 'IM 07. Import Scenario''s'.MJP? THEN 'RP 16. MJP Inflatie'.'MJP excl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Overig Kosten', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'RP 16. MJP Inflatie'.'MJP incl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Overig Kosten', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,"'RP 06. samenvatting MJP'.Overige kosten, Afdelingskosten",RP 09. Afdelingskosten
IC,NUMBER,"IF ('IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY?) AND 'SET 01. Import Scenario Settings'.Historic Period? THEN '└DA 30a. Actuals/LE/Budget Input Afdelingskosten'.IC ELSE IF 'IM 07. Import Scenario''s'.MJP? THEN 'RP 16. MJP Inflatie'.'MJP excl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - IC', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'RP 16. MJP Inflatie'.'MJP incl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - IC', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,"'RP 06. samenvatting MJP'.IC en Doorbelastingen, Afdelingskosten",RP 09. Afdelingskosten
-,NONE,,None,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,,,,,,,,,,,false,All Versions,,true,false,false,,,RP 09. Afdelingskosten
KPI,NONE,,None,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Summary1,,,,,,,,,,,false,All Versions,,true,false,false,,,RP 09. Afdelingskosten
niet cf IAS 16,NUMBER,"IF 'IM 07. Import Scenario''s'.MJP? THEN 'RP 16. MJP Inflatie'.'MJP excl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - niet cf IAS 16', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'RP 16. MJP Inflatie'.'MJP incl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - niet cf IAS 16', LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten'] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,,RP 09. Afdelingskosten
Resultaat (incl. inflatie),NUMBER,"IF 'IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY? THEN Afdelingskosten ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? OR 'IM 07. Import Scenario''s'.MJP? THEN -'RP 16. MJP Inflatie'.EBITDA Dashbaording[LOOKUP: 'IM 99. Lookup lists'.'COEA - Afdelingskosten', SELECT: Dummy Total.Total] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,Normal,7938,,,,,,,,,,false,All Versions,,true,false,false,,,RP 09. Afdelingskosten
CAPEX,NUMBER,Omzet + Uren + Materialen + Diensten derden + Toeslagen,Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR 20 Y,Not Applicable,Summary1,18522,,,,,,,,,,true,All Versions,,true,false,false,,"'IP 31. Netverder'.'MJP - Bruto Capex', 'Capex (inc. inflatie)'",RP 10 MJP CAPEX - UMD
Omzet,NUMBER,"IF 'IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY? THEN 'DA 30a. Actuals/LE Input UMDT'.Omzet[LOOKUP: 'IM 99. Lookup lists'.'COEA - CAPEX'] ELSE IF 'IM 07. Import Scenario''s'.MJP? THEN 'RP 16. MJP Inflatie'.'MJP excl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Omzet', LOOKUP: 'IM 99. Lookup lists'.'COEA - CAPEX'] ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'RP 16. MJP Inflatie'.'MJP incl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Omzet', LOOKUP: 'IM 99. Lookup lists'.'COEA - CAPEX'] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR 20 Y,Not Applicable,Normal,18522,,,,,,,,,,false,All Versions,,true,false,false,,"'IP 31. Netverder'.'MJP - Netto capex #1', CAPEX",RP 10 MJP CAPEX - UMD
Uren,NUMBER,"IF 'IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY? THEN 'DA 30a. Actuals/LE Input UMDT'.Uren[LOOKUP: 'IM 99. Lookup lists'.'COEA - CAPEX'] ELSE IF 'IM 07. Import Scenario''s'.MJP? THEN 'RP 16. MJP Inflatie'.'MJP excl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Uren', LOOKUP: 'IM 99. Lookup lists'.'COEA - CAPEX'] ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'RP 16. MJP Inflatie'.'MJP incl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Uren', LOOKUP: 'IM 99. Lookup lists'.'COEA - CAPEX'] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR 20 Y,Not Applicable,Normal,18522,,,,,,,,,,false,All Versions,,true,false,false,,"CAPEX, TOTEX",RP 10 MJP CAPEX - UMD
Materialen,NUMBER,"IF 'IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY? THEN 'DA 30a. Actuals/LE Input UMDT'.Materialen[LOOKUP: 'IM 99. Lookup lists'.'COEA - CAPEX'] ELSE IF 'IM 07. Import Scenario''s'.MJP? THEN 'RP 16. MJP Inflatie'.'MJP excl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Materiaal', LOOKUP: 'IM 99. Lookup lists'.'COEA - CAPEX'] ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'RP 16. MJP Inflatie'.'MJP incl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Materiaal', LOOKUP: 'IM 99. Lookup lists'.'COEA - CAPEX'] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR 20 Y,Not Applicable,Normal,18522,,,,,,,,,,false,All Versions,,true,false,false,,"CAPEX, TOTEX",RP 10 MJP CAPEX - UMD
Diensten derden,NUMBER,"IF 'IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY? THEN 'DA 30a. Actuals/LE Input UMDT'.Diensten Derden[LOOKUP: 'IM 99. Lookup lists'.'COEA - CAPEX'] ELSE IF 'IM 07. Import Scenario''s'.MJP? THEN 'RP 16. MJP Inflatie'.'MJP excl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Diensten Derden', LOOKUP: 'IM 99. Lookup lists'.'COEA - CAPEX'] ELSE IF 'IM 07. Import Scenario''s'.MJP Inflatie? THEN 'RP 16. MJP Inflatie'.'MJP incl. inflatie'[LOOKUP: 'IM 99. Lookup lists'.'CA 29 - Diensten Derden', LOOKUP: 'IM 99. Lookup lists'.'COEA - CAPEX'] ELSE 0",Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR 20 Y,Not Applicable,Normal,18522,,,,,,,,,,false,All Versions,,true,false,false,,"CAPEX, TOTEX",RP 10 MJP CAPEX - UMD
Toeslagen,NUMBER,IF 'IM 07. Import Scenario''s'.Actual? OR 'IM 07. Import Scenario''s'.LE? OR 'IM 07. Import Scenario''s'.Budget LY? THEN 'DA 30a. Actuals/LE Input UMDT'.Toeslagen[LOOKUP: 'IM 99. Lookup lists'.'COEA - CAPEX'] ELSE IF 'IM 07. Import Scenario''s'.MJP? OR 'IM 07. Import Scenario''s'.MJP Inflatie? THEN Toeslagen direct + Toeslagen indirect ELSE 0,Sum,"MJP Versions L2, Import Scenario, SS Afdeling L5 - Budget Afdelingen",Year,TR 20 Y,Not Applicable,Normal,18522,,,,,,,,,,false,All Versions,,true,false,false,,"CAPEX, TOTEX",RP 10 MJP CAPEX - UMD
